Altitude,Bag Weight,Harvest Year,Moisture Percentage,Category One Defects,Quakers,Category Two Defects,Number of Bags Log,Quality,Country_colombia,Country_costa rica,Country_el salvador,Country_ethiopia,Country_guatemala,Country_honduras,Country_indonesia,Country_kenya,Country_laos,Country_madagascar,Country_mexico,Country_myanmar,Country_nicaragua,Country_panama,Country_peru,Country_taiwan,Country_tanzania,Country_thailand,Country_uganda,Country_usa,Country_vietnam,Variety_catimor,Variety_catuai,Variety_caturra,Variety_ethiopian heirlooms,Variety_gesha,Variety_other,Variety_sl34,Variety_typica,Variety_unknown,Processing Method_natural,Processing Method_other,Processing Method_washed,Color_bluish-green,Color_browish-green,Color_brownish,Color_green,Color_greenish,Color_pale yellow,Color_yellow,Color_yellow-green
1368.0,69,2023,9.8,0,0,3,5.831882477283517,Medium,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1943.0,30,2022,10.9,0,0,9,6.371611847231857,Medium,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
400.0,20,2022,10.2,0,0,0,0.6931471805599453,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
850.0,100,2022,10.1,0,0,1,0.6931471805599453,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
1350.0,30,2023,9.2,0,1,5,6.398594934535208,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1300.0,10,2022,10.1,3,0,7,2.3978952727983707,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2361.0,60,2022,11.0,0,5,4,5.771441123130016,Medium,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1500.0,30,2021,10.3,0,0,4,3.044522437723423,Medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2100.0,70,2022,11.6,0,0,1,5.62040086571715,Medium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1300.0,60,2022,11.5,0,1,1,0.6931471805599453,Medium,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1600.0,30,2023,10.0,0,0,1,4.02535169073515,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1500.0,60,2022,12.1,0,0,0,1.791759469228055,Medium,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1368.0,30,2023,10.2,0,0,2,5.846438775057724,Medium,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1600.0,69,2022,11.0,0,3,2,5.62040086571715,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
150.0,110,2022,10.8,0,0,2,0.6931471805599453,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
800.0,80,2022,10.6,0,0,0,0.6931471805599453,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1550.0,30,2023,11.0,0,1,2,6.066108090103747,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1550.0,30,2023,11.0,0,2,2,5.303304908059076,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1800.0,30,2022,9.4,0,0,0,2.833213344056216,Medium,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1675.0,60,2023,9.8,0,0,3,5.303304908059076,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1800.0,60,2022,11.3,1,1,1,5.707110264748875,Medium,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1550.0,60,2023,11.6,0,0,2,5.771441123130016,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1550.0,70,2022,13.3,0,2,3,5.62040086571715,Medium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1850.0,35,2023,9.5,0,0,2,5.5254529391317835,Medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1900.0,15,2021,11.9,0,0,0,0.6931471805599453,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1600.0,30,2023,10.0,0,1,2,3.58351893845611,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1350.0,30,2022,11.6,0,0,3,0.6931471805599453,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1411.0,70,2023,11.9,0,1,1,5.929589143389895,Medium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
1400.0,30,2022,10.8,0,0,4,6.398594934535208,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1301.25,30,2022,10.9,0,1,4,6.455198563340122,Medium,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2000.0,60,2022,12.0,0,0,12,4.61512051684126,Medium,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1700.0,70,2023,12.1,2,5,5,5.655991810819852,Medium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
500.0,15,2022,11.8,0,3,3,1.6094379124341003,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
