Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Moisture Percentage,Altitude Clean,Category One Defects,Category Two Defects,Country Grouped,Processing Simple,Overall
7.33,7.67,7.25,7.67,7.83,7.42,11.8,1200.0,0,0,El Salvador,Washed,7.17
7.67,7.58,7.42,7.5,7.33,7.42,10.8,140.0,0,1,Taiwan,Natural,7.42
7.67,7.5,7.33,7.58,7.33,7.42,11.7,1600.0,0,3,Other,Washed,7.42
7.75,7.42,7.33,7.5,7.33,7.5,10.6,1200.0,1,5,United States (Hawaii),Washed,7.33
7.5,7.5,7.42,7.5,7.25,7.5,11.2,1725.0,0,2,Other,Washed,7.5
7.67,7.5,7.25,7.5,7.5,7.33,10.6,1368.0,0,8,Honduras,Washed,7.42
7.5,7.67,7.33,7.5,7.25,7.33,9.7,600.0,0,0,Taiwan,Washed,7.5
7.33,7.42,7.42,7.5,7.42,7.5,8.1,460.0,0,3,Taiwan,Natural,7.5
7.5,7.58,7.42,7.42,7.25,7.42,8.2,500.0,0,1,Taiwan,Washed,7.42
7.17,7.5,7.42,7.42,7.58,7.5,9.8,1000.0,0,0,Thailand,Washed,7.42
7.42,7.42,7.42,7.33,7.58,7.33,10.5,1500.0,1,8,Costa Rica,Washed,7.5
7.42,7.42,7.42,7.33,7.5,7.42,11.5,1450.0,0,2,Guatemala,Washed,7.5
7.67,7.33,7.25,7.67,7.42,7.25,12.5,1350.0,0,0,Other,Natural,7.42
7.5,7.5,7.33,7.5,7.33,7.33,11.6,1600.0,0,2,Other,Washed,7.42
7.33,7.42,7.33,7.42,7.58,7.42,10.3,1400.0,0,1,Guatemala,Washed,7.42
7.25,7.42,7.42,7.5,7.42,7.42,11.3,300.0,0,0,Taiwan,Natural,7.42
7.5,7.5,7.25,7.42,7.42,7.42,11.2,1300.0,0,4,Other,Natural,7.33
7.5,7.5,7.42,7.33,7.33,7.33,11.3,1000.0,0,2,Brazil,Natural,7.42
7.42,7.5,7.58,7.33,7.33,7.25,11.1,950.0,0,0,Brazil,Natural,7.33
7.33,7.5,7.33,7.42,7.42,7.42,11.2,1574.0,0,0,Colombia,Washed,7.33
7.58,7.42,7.25,7.25,7.5,7.33,11.8,1200.0,2,2,Other,Washed,7.33
7.33,7.42,7.25,7.42,7.42,7.33,9.7,1200.0,0,4,Costa Rica,Washed,7.42
7.42,7.5,7.33,7.33,7.33,7.33,9.0,300.0,0,0,Taiwan,Natural,7.33
7.33,7.5,7.42,7.33,7.33,7.25,8.5,435.0,0,0,Taiwan,Natural,7.33
7.33,7.42,7.25,7.33,7.5,7.42,11.6,1400.0,2,1,Thailand,Washed,7.17
7.42,7.25,7.33,7.42,7.33,7.33,10.5,1400.0,0,5,Thailand,Natural,7.25
7.25,7.25,7.42,7.25,7.42,7.42,10.4,700.0,0,0,Thailand,Washed,7.17
7.42,7.25,7.25,7.42,7.17,7.33,11.4,1550.0,0,2,Colombia,Washed,7.33
7.42,7.42,7.25,7.25,7.17,7.25,10.6,1200.0,0,1,Brazil,Natural,7.25
7.42,7.33,7.33,7.5,7.08,7.0,10.5,1400.0,0,7,El Salvador,Natural,7.17
7.25,7.25,7.17,7.33,7.08,7.25,11.5,1100.0,0,3,Nicaragua,Washed,7.17
7.42,7.17,7.0,7.08,7.42,7.17,11.2,1000.0,0,5,Nicaragua,Washed,7.17
7.25,7.25,7.17,7.33,7.0,7.17,11.0,1600.0,0,3,Colombia,Washed,7.25
7.5,7.25,7.17,7.17,7.17,7.08,11.8,1600.0,0,11,Other,Washed,7.0
7.08,7.25,7.08,7.42,7.42,7.08,11.5,1300.0,0,7,El Salvador,Natural,7.0
7.25,7.17,7.17,7.08,7.17,7.17,11.6,1200.0,0,2,Brazil,Natural,7.17
7.17,7.17,6.92,7.17,7.42,7.17,11.4,950.0,0,4,Brazil,Natural,7.08
7.33,7.08,6.75,7.17,7.42,7.17,10.4,1200.0,0,12,Nicaragua,Natural,7.08
7.25,7.17,7.08,7.0,7.08,7.08,11.6,1300.0,0,11,Other,Washed,7.0
6.5,6.75,6.75,7.17,7.08,7.0,11.0,1200.0,0,13,El Salvador,Natural,6.83
7.25,7.08,6.67,6.83,6.83,6.67,11.3,975.0,0,1,Brazil,Washed,6.67
